,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,,Unemployment Rate,Latitude,Longitude
359,Georgia,12/31/2027,41526,22733,752,,1.37,33.040619,-83.643074
360,Hawaii,12/31/2027,69550,22748,1977,,1.21,21.094318,-157.498337
361,Idaho,12/31/2027,38002,22753,753,,1.09,44.240459,-114.478828
362,Illinois,12/31/2027,47607,22736,594,,1.75,40.349457,-88.986137
363,Indiana,12/31/2027,40911,22715,807,,1.30,39.849426,-86.258278
364,Iowa,12/31/2027,46400,22707,572,,1.13,42.011539,-93.210526
365,Kansas,12/31/2027,43755,22726,581,,1.78,38.5266,-96.726486
366,Kentucky,12/31/2027,38769,22747,664,,1.99,37.66814,-84.670067
367,Louisiana,12/31/2027,38976,22780,716,,2.81,31.169546,-91.867805
368,Maine,12/31/2027,39355,22759,1021,,1.34,44.693947,-69.381927
369,Maryland,12/31/2027,54630,22750,1202,,1.94,39.063946,-76.802101
370,Massachusetts,12/31/2027,62103,22766,2084,,1.22,42.230171,-71.530106
371,Michigan,12/31/2027,41702,22760,694,,1.59,43.326618,-84.536095
372,Minnesota,12/31/2027,49061,22726,995,,1.54,45.694454,-93.900192
373,Mississippi,12/31/2027,38040,22708,815,,2.87,32.741646,-89.678696
374,Missouri,12/31/2027,39867,22753,645,,1.23,38.456085,-92.288368
375,Montana,12/31/2027,41496,22745,739,,1.77,46.921925,-110.454353
376,Nebraska,12/31/2027,48356,22747,702,,2.05,41.12537,-98.268082
377,Nevada,12/31/2027,49104,22746,756,,1.39,38.313515,-117.055374
378,New Hampshire,12/31/2027,67275,22756,1212,,1.14,43.452492,-71.563896
379,New Jersey,12/31/2027,57887,22730,1304,,1.56,40.298904,-74.521011
380,New Mexico,12/31/2027,39495,22737,672,,3.30,34.840515,-106.248482
381,New York,12/31/2027,57291,22717,1531,,1.98,42.165726,-74.948051
382,North Carolina,12/31/2027,44625,22748,780,,1.69,35.630066,-79.806419
383,North Dakota,12/31/2027,40087,22747,607,,1.62,47.528912,-99.784012
384,Ohio,12/31/2027,43240,22748,606,,1.93,40.388783,-82.764915
385,Oklahoma,12/31/2027,44170,22761,604,,1.69,35.565342,-96.928917
386,Oregon,12/31/2027,44806,22753,899,,1.79,44.572021,-122.070938
387,Pennsylvania,12/31/2027,54146,22739,1101,,2.06,40.590752,-77.209755
388,Rhode Island,12/31/2027,48915,22725,1367,,1.36,41.680893,-71.51178
389,South Carolina,12/31/2027,39415,22733,824,,1.01,33.856892,-80.945007
390,South Dakota,12/31/2027,44621,22744,523,,1.82,44.299782,-99.438828
391,Tennessee,12/31/2027,39429,22734,684,,1.32,35.747845,-86.692345
392,Texas,12/31/2027,43180,22733,789,,1.73,31.054487,-97.563461
393,Utah,12/31/2027,53806,22737,722,,1.11,40.150032,-111.862434
394,Vermont,12/31/2027,49023,22728,1318,,0.90,44.045876,-72.710686
395,Virginia,12/31/2027,51100,22750,948,,1.24,37.769337,-78.169968
396,Washington,12/31/2027,49121,22728,1059,,2.34,47.400902,-121.490494
397,West Virginia,12/31/2027,41688,22765,765,,2.99,38.491226,-80.954453
398,Wisconsin,12/31/2027,44298,22726,635,,1.22,44.268543,-89.616508
399,Wyoming,12/31/2027,44919,22756,682,,2.32,42.755966,-107.30249
400,Alabama,12/31/2028,44733,22308,949,,1.03,32.806671,-86.79113
401,Alaska,12/31/2028,52760,22312,655,,5.18,61.370716,-152.404419
402,Arizona,12/31/2028,41731,22310,560,,2.32,33.729759,-111.431221
403,Arkansas,12/31/2028,40246,22343,819,,1.65,34.969704,-92.373123
404,California,12/31/2028,54993,22302,1550,,1.40,36.116203,-119.681564
405,Colorado,12/31/2028,72924,22301,1333,,1.21,39.059811,-105.311104
406,Connecticut,12/31/2028,51439,22326,989,,1.54,41.597782,-72.755371
407,Delaware,12/31/2028,45017,22343,819,,1.43,39.318523,-75.507141
408,Florida,12/31/2028,45484,22311,967,,0.97,27.766279,-81.686783
409,Georgia,12/31/2028,40453,22315,733,,1.22,33.040619,-83.643074
410,Hawaii,12/31/2028,71673,22332,2045,,1.09,21.094318,-157.498337
411,Idaho,12/31/2028,38072,22337,754,,0.96,44.240459,-114.478828
412,Illinois,12/31/2028,45931,22319,574,,1.58,40.349457,-88.986137
413,Indiana,12/31/2028,40075,22295,791,,1.16,39.849426,-86.258278
414,Iowa,12/31/2028,44555,22286,549,,1.02,42.011539,-93.210526
415,Kansas,12/31/2028,41975,22307,558,,1.65,38.5266,-96.726486
416,Kentucky,12/31/2028,38446,22331,658,,1.81,37.66814,-84.670067
417,Louisiana,12/31/2028,38257,22367,703,,2.64,31.169546,-91.867805
418,Maine,12/31/2028,40508,22344,1051,,1.21,44.693947,-69.381927
419,Maryland,12/31/2028,54030,22334,1189,,1.78,39.063946,-76.802101
420,Massachusetts,12/31/2028,66503,22351,2239,,1.09,42.230171,-71.530106
421,Michigan,12/31/2028,40812,22345,679,,1.42,43.326618,-84.536095
422,Minnesota,12/31/2028,49639,22308,1007,,1.40,45.694454,-93.900192
423,Mississippi,12/31/2028,38515,22287,825,,2.67,32.741646,-89.678696
424,Missouri,12/31/2028,38881,22337,629,,1.09,38.456085,-92.288368
425,Montana,12/31/2028,41397,22329,738,,1.63,46.921925,-110.454353
426,Nebraska,12/31/2028,47744,22331,694,,1.96,41.12537,-98.268082
427,Nevada,12/31/2028,47314,22329,728,,1.22,38.313515,-117.055374
428,New Hampshire,12/31/2028,68539,22340,1233,,1.03,43.452492,-71.563896
429,New Jersey,12/31/2028,58172,22312,1311,,1.41,40.298904,-74.521011
430,New Mexico,12/31/2028,38484,22319,657,,3.14,34.840515,-106.248482
431,New York,12/31/2028,59028,22298,1579,,1.82,42.165726,-74.948051
432,North Carolina,12/31/2028,44203,22332,773,,1.51,35.630066,-79.806419
433,North Dakota,12/31/2028,38917,22330,589,,1.54,47.528912,-99.784012
434,Ohio,12/31/2028,42041,22331,588,,1.75,40.388783,-82.764915
435,Oklahoma,12/31/2028,42882,22346,586,,1.55,35.565342,-96.928917
436,Oregon,12/31/2028,44274,22338,889,,1.61,44.572021,-122.070938
437,Pennsylvania,12/31/2028,55686,22322,1131,,1.89,40.590752,-77.209755
438,Rhode Island,12/31/2028,50967,22307,1429,,1.20,41.680893,-71.51178
439,South Carolina,12/31/2028,39346,22315,822,,0.88,33.856892,-80.945007
440,South Dakota,12/31/2028,42981,22327,505,,1.72,44.299782,-99.438828
441,Tennessee,12/31/2028,38589,22317,670,,1.17,35.747845,-86.692345
442,Texas,12/31/2028,42190,22315,771,,1.59,31.054487,-97.563461
443,Utah,12/31/2028,52055,22319,698,,0.99,40.150032,-111.862434
444,Vermont,12/31/2028,51085,22309,1373,,0.80,44.045876,-72.710686
445,Virginia,12/31/2028,49785,22334,924,,1.12,37.769337,-78.169968
446,Washington,12/31/2028,48798,22309,1052,,2.15,47.400902,-121.490494
447,West Virginia,12/31/2028,42296,22350,776,,2.81,38.491226,-80.954453
448,Wisconsin,12/31/2028,42974,22307,616,,1.09,44.268543,-89.616508
449,Wyoming,12/31/2028,43925,22341,666,,2.19,42.755966,-107.30249
450,Alabama,12/31/2029,43586,21897,925,,0.91,32.806671,-86.79113
451,Alaska,12/31/2029,51993,21902,645,,5.07,61.370716,-152.404419
452,Arizona,12/31/2029,40612,21900,545,,2.14,33.729759,-111.431221
453,Arkansas,12/31/2029,39507,21935,803,,1.52,34.969704,-92.373123
454,California,12/31/2029,55866,21891,1573,,1.24,36.116203,-119.681564
455,Colorado,12/31/2029,74484,21889,1358,,1.09,39.059811,-105.311104
456,Connecticut,12/31/2029,50786,21916,975,,1.40,41.597782,-72.755371
457,Delaware,12/31/2029,43696,21935,794,,1.30,39.318523,-75.507141
458,Florida,12/31/2029,44944,21901,955,,0.85,27.766279,-81.686783
459,Georgia,12/31/2029,39407,21904,714,,1.08,33.040619,-83.643074
460,Hawaii,12/31/2029,73862,21923,2115,,0.99,21.094318,-157.498337
461,Idaho,12/31/2029,38141,21929,756,,0.85,44.240459,-114.478828
462,Illinois,12/31/2029,44315,21909,554,,1.42,40.349457,-88.986137
463,Indiana,12/31/2029,39256,21884,775,,1.03,39.849426,-86.258278
464,Iowa,12/31/2029,42782,21873,527,,0.93,42.011539,-93.210526
465,Kansas,12/31/2029,40267,21896,536,,1.52,38.5266,-96.726486
466,Kentucky,12/31/2029,38127,21922,653,,1.65,37.66814,-84.670067
467,Louisiana,12/31/2029,37551,21962,691,,2.49,31.169546,-91.867805
468,Maine,12/31/2029,41694,21937,1082,,1.09,44.693947,-69.381927
469,Maryland,12/31/2029,53436,21925,1176,,1.64,39.063946,-76.802101
470,Massachusetts,12/31/2029,71213,21944,2406,,0.98,42.230171,-71.530106
471,Michigan,12/31/2029,39941,21938,664,,1.26,43.326618,-84.536095
472,Minnesota,12/31/2029,50224,21897,1019,,1.28,45.694454,-93.900192
473,Mississippi,12/31/2029,38996,21874,835,,2.48,32.741646,-89.678696
474,Missouri,12/31/2029,37920,21929,614,,0.96,38.456085,-92.288368
475,Montana,12/31/2029,41298,21920,736,,1.50,46.921925,-110.454353
476,Nebraska,12/31/2029,47139,21922,685,,1.87,41.12537,-98.268082
477,Nevada,12/31/2029,45590,21920,701,,1.07,38.313515,-117.055374
478,New Hampshire,12/31/2029,69827,21932,1255,,0.94,43.452492,-71.563896
479,New Jersey,12/31/2029,58457,21902,1318,,1.27,40.298904,-74.521011
480,New Mexico,12/31/2029,37500,21909,642,,2.99,34.840515,-106.248482
481,New York,12/31/2029,60818,21886,1629,,1.67,42.165726,-74.948051
482,North Carolina,12/31/2029,43785,21924,765,,1.36,35.630066,-79.806419
483,North Dakota,12/31/2029,37780,21922,571,,1.47,47.528912,-99.784012
484,Ohio,12/31/2029,40876,21923,571,,1.59,40.388783,-82.764915
485,Oklahoma,12/31/2029,41632,21938,569,,1.43,35.565342,-96.928917
486,Oregon,12/31/2029,43747,21930,879,,1.45,44.572021,-122.070938
487,Pennsylvania,12/31/2029,57270,21913,1163,,1.74,40.590752,-77.209755
488,Rhode Island,12/31/2029,53105,21896,1495,,1.06,41.680893,-71.51178
489,South Carolina,12/31/2029,39277,21904,820,,0.76,33.856892,-80.945007
490,South Dakota,12/31/2029,41402,21918,487,,1.62,44.299782,-99.438828
491,Tennessee,12/31/2029,37766,21907,656,,1.04,35.747845,-86.692345
492,Texas,12/31/2029,41223,21905,753,,1.45,31.054487,-97.563461
493,Utah,12/31/2029,50361,21909,674,,0.88,40.150032,-111.862434
494,Vermont,12/31/2029,53233,21899,1432,,0.72,44.045876,-72.710686
495,Virginia,12/31/2029,48503,21925,901,,1.01,37.769337,-78.169968
496,Washington,12/31/2029,48478,21899,1044,,1.98,47.400902,-121.490494
497,West Virginia,12/31/2029,42912,21943,788,,2.65,38.491226,-80.954453
498,Wisconsin,12/31/2029,41689,21896,597,,0.97,44.268543,-89.616508
499,Wyoming,12/31/2029,42953,21933,650,,2.06,42.755966,-107.30249
